,MATICUSDT,STXUSDT,Spread,ZScore
76,0.8622,0.234,-0.0012600000000000389,0.8708680438650728
77,0.8597,0.233,-7.00000000000145e-05,0.935072240669419
78,0.8575,0.234,-0.005959999999999965,0.2898229021837742
79,0.8561,0.232,1.999999999990898e-05,0.8480108035630894
80,0.8568,0.232,0.0007199999999999429,0.8415256697766275
81,0.8475,0.231,-0.00488999999999995,0.14218241498704168
82,0.8499,0.231,-0.0024899999999999922,0.3674696439380976
83,0.8506,0.23,0.0019000000000000128,0.86892179883974
84,0.8578,0.235,-0.00934999999999997,-0.9688741240866272
85,0.8677,0.235,0.0005500000000000504,0.6695340064887451
86,0.8655,0.234,0.0020400000000000418,0.8953012236287816
87,0.8676,0.235,0.00045000000000006146,0.5134937127865093
88,0.8722,0.236,0.0013600000000000279,0.6881005522164123
89,0.8914,0.238,0.01317999999999997,2.8616337225058084
90,0.9004,0.24,0.014800000000000035,2.5136275281566887
91,0.8948,0.239,0.012890000000000068,1.8758750463862972
92,0.891,0.238,0.012780000000000014,1.6395469561235474
93,0.893,0.239,0.011090000000000044,1.2541114157259532
94,0.8945,0.239,0.01258999999999999,1.3319354330159994
95,0.8825,0.236,0.011660000000000004,1.1057400164812734
96,0.8862,0.237,0.01167000000000007,1.0326587551174244
97,0.8884,0.239,0.006489999999999996,0.2902112494326185
98,0.8858,0.237,0.011270000000000113,0.8575188262137997
99,0.8819,0.237,0.007370000000000099,0.26230802879831655
100,0.8814,0.237,0.006870000000000043,0.1469311230703672
101,0.8807,0.237,0.00617000000000012,0.00818277282565306
102,0.8817,0.237,0.007170000000000121,0.07610768650161438
103,0.8922,0.239,0.010290000000000021,0.49838855338234694
104,0.8723,0.235,0.005149999999999988,-0.3901547718422043
105,0.8739,0.238,-0.0043199999999999905,-2.2878624008735784
106,0.8804,0.245,-0.02365000000000006,-3.539838559458477
107,0.9048,0.245,0.0007500000000000284,-0.6685712923973358
108,0.9088,0.245,0.004750000000000032,-0.22823899410654946
109,0.9116,0.246,0.0038599999999999746,-0.34995113718393533
110,0.9114,0.246,0.0036599999999999966,-0.32386302667539774
